@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric
@attribute outputs-16 numeric
@attribute outputs-17 numeric
@attribute outputs-18 numeric
@attribute outputs-19 numeric
@attribute outputs-20 numeric
@attribute outputs-21 numeric
@attribute outputs-22 numeric
@attribute outputs-23 numeric
@attribute outputs-24 numeric
@attribute outputs-25 numeric
@attribute outputs-26 numeric
@attribute outputs-27 numeric

@data
38,'2018/05/10 09:47:07:609',2,-9.286316,403.368896,38.138096,-28.335846,398.253601,58.14904,61.717712,409.097748,64.171867,137.661316,407.466797,63.453045,214.632538,408.355957,57.081116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,'2018/05/10 09:47:07:660',2,-5.71405,404.421936,38.930046,-28.07959,398.790771,58.9496,61.733215,409.595154,64.889633,138.256989,408.162048,64.094757,214.834381,408.876587,57.65942,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,'2018/05/10 09:47:07:710',2,-3.108795,404.227112,37.752312,-30.888428,399.844025,57.739796,59.27655,410.191589,64.030014,136.103973,408.507599,63.457237,213.803543,408.654114,57.24844,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,'2018/05/10 09:47:07:760',2,-4.096375,403.659821,37.790325,-30.282104,401.074188,57.882008,61.195923,411.480408,64.105377,137.626099,409.63327,63.45787,214.824783,409.386261,57.18325,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,'2018/05/10 09:47:07:810',2,-4.070435,405.912323,38.184261,-29.650635,403.309448,58.380077,62.054321,412.701477,64.653816,138.338196,410.312653,64.020866,215.664612,409.568939,57.769447,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,'2018/05/10 09:47:07:860',2,-5.559937,406.645386,37.995689,-28.477631,404.971436,58.529114,63.235535,413.483154,64.851097,139.528809,411.214111,64.229065,217.035065,410.419312,57.98632,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,'2018/05/10 09:47:07:909',2,-7.192047,406.687775,37.544598,-28.722443,405.236694,58.301266,62.674438,413.215088,64.695572,139.119812,411.380737,64.101112,216.964508,410.725067,57.887611,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,'2018/05/10 09:47:07:959',2,-8.326385,405.231934,36.793015,-28.735962,403.692291,57.750481,61.294891,412.62146,64.154922,137.900787,411.274872,63.62957,215.850784,410.802032,57.508419,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,'2018/05/10 09:47:08:009',2,-5.119598,404.878754,36.747181,-28.485962,403.427429,57.508366,60.698425,412.245056,64.040276,137.509003,411.41806,63.608334,216.000366,411.075012,57.595192,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,'2018/05/10 09:47:08:060',2,-4.076477,404.64386,36.354042,-27.934082,403.338379,57.150517,60.651184,412.068695,63.744411,137.544769,411.385925,63.374786,216.314011,411.148499,57.425922,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,'2018/05/10 09:47:08:110',2,-4.217468,406.038086,36.644562,-26.132965,404.829956,57.526974,62.722382,412.876038,64.061096,139.639679,411.628052,63.645939,218.047333,411.014923,57.650158,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,'2018/05/10 09:47:17:735',3,-49.496185,400.173096,77.024445,7.61441,436.705872,94.908203,107.624908,421.780945,99.255463,180.582565,415.44873,96.452606,213.912125,408.479462,90.509903,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,'2018/05/10 09:47:17:784',3,-49.169647,401.033783,77.167122,7.858948,438.17749,94.901215,107.752655,423.147186,99.264908,180.518524,416.680298,96.467392,213.627075,409.193298,90.542717,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,'2018/05/10 09:47:17:834',3,-48.813812,402.759491,77.185387,8.859467,441.182861,94.706482,108.554688,426.105194,99.127777,181.111237,419.232208,96.352463,212.636108,409.893188,90.53212,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,'2018/05/10 09:47:17:887',3,-48.719116,403.317566,77.134125,9.737854,442.692505,94.615295,109.332855,427.566956,99.058975,181.759903,420.531097,96.292068,213.705551,410.504242,90.467918,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,'2018/05/10 09:47:17:936',3,-48.986816,403.079498,77.133316,9.183136,442.50354,94.641953,108.771881,427.459747,99.103432,181.2314,420.543884,96.35054,213.441605,410.432129,90.526077,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,'2018/05/10 09:47:17:987',3,-51.041901,405.817108,75.885086,3.645905,444.420074,93.691277,100.894958,428.138977,98.657135,173.780655,420.328186,96.275742,207.973404,409.478455,90.595024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,'2018/05/10 09:47:18:034',3,-50.913055,407.614441,75.575241,3.653137,445.737976,93.389809,100.343262,429.130676,98.455505,173.185486,421.006836,96.144073,209.245117,409.627502,90.428513,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,'2018/05/10 09:47:18:085',3,-48.725281,406.59375,76.116943,5.047272,443.974091,93.72715,102.83725,428.04895,98.593857,175.653259,420.65509,96.141617,212.292419,409.815552,90.304886,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,'2018/05/10 09:47:18:134',3,-46.768036,405.691467,76.996552,9.355408,443.396851,94.309708,108.586395,428.086395,98.829819,180.962112,421.135498,96.120529,215.41954,410.728455,90.215683,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,'2018/05/10 09:47:18:186',3,-45.793396,404.850159,77.362,9.693573,443.15979,94.509048,109.508331,428.43692,98.947342,181.847198,421.877014,96.175781,215.533752,411.52179,90.281464,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,'2018/05/10 09:47:18:233',3,-46.387909,405.40271,77.113686,7.136505,443.791412,94.276917,106.314209,428.834961,98.884079,178.849533,422.093842,96.233871,212.774704,411.417938,90.414383,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,'2018/05/10 09:47:18:285',3,-46.242767,407.432739,76.976578,8.157867,445.977325,94.065819,106.661499,430.339691,98.754745,179.006439,422.881104,96.154129,213.223907,411.610687,90.353699,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,'2018/05/10 09:47:18:338',3,-45.517883,406.341766,77.143768,8.15097,444.780609,94.206169,107.150543,429.566162,98.816223,179.543167,422.581787,96.163788,213.998474,411.719025,90.317841,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,'2018/05/10 09:47:18:389',3,-45.095673,406.656677,77.133347,7.157684,444.284607,94.186752,105.85672,428.811218,98.8414,178.30574,421.789703,96.227478,213.110672,411.042999,90.382042,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,'2018/05/10 09:47:18:440',3,-43.445068,406.660583,77.373428,7.871063,444.109833,94.287933,106.673553,428.619049,98.902878,179.051254,421.619293,96.260696,213.799698,410.971283,90.396606,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,'2018/05/10 09:47:18:487',3,-39.911804,406.55542,78.131729,12.799042,444.708984,94.720322,112.505493,429.522888,99.086113,184.44043,422.599304,96.255722,217.9142,411.926636,90.331192,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,'2018/05/10 09:47:18:535',3,-41.694031,407.62619,76.689476,8.756622,446.727448,93.363434,106.91925,431.077698,98.151443,179.24881,423.43924,95.612808,214.015793,412.064819,89.843704,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,'2018/05/10 09:47:18:584',3,-44.415344,401.0448,77.312439,3.471497,438.700226,94.393349,103.47995,425.132233,98.975273,176.395798,419.909576,96.324371,213.083954,410.655029,90.380554,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,'2018/05/10 09:47:18:635',3,-45.134674,401.165955,77.37915,2.877747,437.546783,94.576355,102.948761,423.990051,99.137131,175.906845,418.999481,96.481354,212.254745,410.032898,90.544205,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,'2018/05/10 09:47:18:684',3,-47.804871,406.945496,75.600777,1.38678,443.794708,93.067108,98.369843,427.832947,98.151871,171.340683,420.566895,95.858978,208.013947,409.863953,90.151802,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,'2018/05/10 09:47:18:735',3,-47.329041,403.644104,75.704346,2.357697,438.587708,93.424911,100.396484,422.951508,98.248543,173.419403,416.717712,95.800812,209.546097,407.52951,89.983078,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
